checkpoint_id,family,variant,city,availability,ablation,checkpoint_bytes,index_bytes,data_bytes,checkpoint_sha256,index_sha256,data_sha256
Duibi_NY/EdgeAware_GAT/NY/avail_33,baseline,edge_aware_gat,NY,33,full,97,1346,678138,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,04d4ac425754065d6c3b43c01e7a3b1cc289a7dd42c9b7f7fbb387bca0a14f3a,4b3bf29a3492673d485616390994d9745ec494afd7fb40005791ca90726abf0e
Duibi_NY/EdgeAware_GAT/NY/avail_66,baseline,edge_aware_gat,NY,66,full,97,1346,678138,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,27d8081c6aaf772d1fa4333c123f884342b1c5c7f71fa0e0dc3df6e980b0b30c,459282123d215fb9cb94eb6db210b93a4175168d3be7be18862c0f0da9cf2230
Duibi_NY/MM_STMAP/NY/avail_100,baseline,mm_stmap,NY,100,full,97,2680,649349,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,376e4d5be678bd9cc1f8c9d18537bdb1fcbd7dba6509b8687e415939557fba30,3dcd46d7ac99bbf419f71bb8074fe69da3f379dc82f2225e9850759f83f88e66
Duibi_NY/MM_STMAP/NY/avail_33,baseline,mm_stmap,NY,33,full,97,2680,649349,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,f2700081c8ac9cb0f8449462ff1137c7cd5d674673ea2819c34b91c187ddacb5,2ca97a3810f5382cc2b271d1dd3a73d9fe609d12ffc05cc732c1396dca7fd9a9
Duibi_NY/MM_STMAP/NY/avail_66,baseline,mm_stmap,NY,66,full,97,2680,649349,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,ba75818264aa606fafdd05d09704640475f9e599d8c981e02ff9349923054446,da054446e2d4ab1192621a25c488b26bba0603ebc1ba3b2d8550900af10979d6
Duibi_NY/MultiModal_STGCN/NY/avail_100,baseline,multimodal_stgcn,NY,100,full,97,1807,445920,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,4f89ab40d311df3afc4c1c5bb2be90da8650dc1895b4fc918f9e510c3f105ff0,c35d478e37203c84ee141970486ebe51926aa1ce96111787974db0a83cc6ef90
Duibi_NY/MultiModal_STGCN/NY/avail_33,baseline,multimodal_stgcn,NY,33,full,97,1807,445920,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,28e515af72a1fba6a5a379b372e4ffac067be0bc22870ef265811cfc9aa62df8,d695caffd73c91a8b96b2016d53f622a9615686c7ab3408b480a12740decaff1
Duibi_NY/MultiModal_STGCN/NY/avail_66,baseline,multimodal_stgcn,NY,66,full,97,1807,445920,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,2b4094ef657fec74a8dbffee848d0ba9e5ead1804ec86bf4f5d999601bbac961,bbef505798e1edf0036dee6707d0c9b2349678b164ab4cde736e005d1129841d
Duibi_NY/QoSQueue_DTSM/NY/avail_100,baseline,qos_queue_dtsm,NY,100,full,97,1270,350685,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,64ddc1c6dffc1846fb4a8f07428e5b12b42662f8c8244f9bc8a19c457af1d14b,0b3deda2e3f5cc66b42b3ce224847293e5cddf2acca7bf168e57cb7ca0da63d4
Duibi_NY/QoSQueue_DTSM/NY/avail_33,baseline,qos_queue_dtsm,NY,33,full,97,1270,350685,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,9d465792fb7ee5b15463954656016b7f00f526f4ee9a07fa386fc25686f089ba,ad6721256af47237f3fefae8f17b7a7f567d80d51719157fabf0a1cfdc54c77a
Duibi_NY/QoSQueue_DTSM/NY/avail_66,baseline,qos_queue_dtsm,NY,66,full,97,1270,350685,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,5500f8f582591600355fbc17f17745ebd7c3f61b70a125d6e6fc07613302d7a9,ca77192c747817dba27218012c33e4d1b0c57cd47efc67fabd7d3562599d1f29
Duibi_NY/StructuralHeuristic_GNN/NY/avail_100,baseline,structural_heuristic,NY,100,full,97,1156,677365,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,e29577903f182025e46ec75aa185ade858d60b1ca6228a8881f3a73b7b43d296,d81ac3a677820456e911d9bca54875f62e834454e9d58e97cc028385adbd7ad3
Duibi_NY/StructuralHeuristic_GNN/NY/avail_33,baseline,structural_heuristic,NY,33,full,97,1156,677365,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,23598feb940d4c3b91b73bd6a9ea32d00bc1ec34e63525bb40fabac861e4951d,ff46c0f4895ca1b5ef8c513a12444d531382fd0d1bdb26c461a8624289c11469
Duibi_NY/StructuralHeuristic_GNN/NY/avail_66,baseline,structural_heuristic,NY,66,full,97,1156,677365,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,baba0e510acc1efeaf8e7349b8a69d249b0905be3a41c557f2132f8ae4350fe2,23c5e799e455a6e28f5d968360aa28923a328b69c59ca949ac5d97f4120474ec
